DPTO.REDCODEN (Departamento),PERSONA.P03 (Identidad de género),0. __tot__,1. Sí,2. No,0. __mv__,0. __na__,
6210. Chacabuco,2. Mujer trans/travesti,81,73,8,,,
6210. Chacabuco,3. Varón,24359,22250,2109,,,
6210. Chacabuco,4. Varón trans/masculinidad trans,33,28,5,,,
6210. Chacabuco,5. No binario,22,21,1,,,
6210. Chacabuco,6. Otra identidad/ninguna de las anteriores,10,9,1,,,
6210. Chacabuco,7. Prefiero no contestar,52,49,3,,,
6210. Chacabuco,9. Ignorado,2034,1774,260,,,
6218. Chascomús,0. __tot__,42191,38953,3238,,,
6218. Chascomús,1. Mujer,20886,19329,1557,,,
6218. Chascomús,2. Mujer trans/travesti,48,44,4,,,
6218. Chascomús,3. Varón,19830,18289,1541,,,
6218. Chascomús,4. Varón trans/masculinidad trans,37,34,3,,,
6218. Chascomús,5. No binario,21,18,3,,,
6218. Chascomús,6. Otra identidad/ninguna de las anteriores,11,10,1,,,
6218. Chascomús,7. Prefiero no contestar,81,70,11,,,
6218. Chascomús,9. Ignorado,1277,1159,118,,,
6224. Chivilcoy,0. __tot__,70554,64820,5734,,,
6224. Chivilcoy,1. Mujer,34880,32064,2816,,,
6224. Chivilcoy,2. Mujer trans/travesti,114,99,15,,,
6224. Chivilcoy,3. Varón,31959,29484,2475,,,
6224. Chivilcoy,4. Varón trans/masculinidad trans,91,80,11,,,
6224. Chivilcoy,5. No binario,42,37,5,,,
6224. Chivilcoy,6. Otra identidad/ninguna de las anteriores,14,10,4,,,
6224. Chivilcoy,7. Prefiero no contestar,84,76,8,,,
6224. Chivilcoy,9. Ignorado,3370,2970,400,,,
6231. Daireaux,0. __tot__,18328,16329,1999,,,
6231. Daireaux,1. Mujer,8421,7608,813,,,
6231. Daireaux,2. Mujer trans/travesti,45,38,7,,,
6231. Daireaux,3. Varón,8209,7381,828,,,
6231. Daireaux,4. Varón trans/masculinidad trans,112,88,24,,,
6231. Daireaux,5. No binario,16,13,3,,,
6231. Daireaux,6. Otra identidad/ninguna de las anteriores,7,5,2,,,
6231. Daireaux,7. Prefiero no contestar,18,16,2,,,
