DPTO.REDCODEN (Departamento),PERSONA.P03 (Identidad de género),0. __tot__,1. Sí,2. No,0. __mv__,0. __na__,
6084. Benito Juárez,9. Ignorado,1400,881,519,,,
6091. Berazategui,0. __tot__,358328,318351,39977,,,
6091. Berazategui,1. Mujer,175246,156568,18678,,,
6091. Berazategui,2. Mujer trans/travesti,416,353,63,,,
6091. Berazategui,3. Varón,164439,145787,18652,,,
6091. Berazategui,4. Varón trans/masculinidad trans,529,405,124,,,
6091. Berazategui,5. No binario,214,195,19,,,
6091. Berazategui,6. Otra identidad/ninguna de las anteriores,105,88,17,,,
6091. Berazategui,7. Prefiero no contestar,502,446,56,,,
6091. Berazategui,9. Ignorado,16877,14509,2368,,,
6098. Berisso,0. __tot__,100685,85442,15243,,,
6098. Berisso,1. Mujer,49596,42284,7312,,,
6098. Berisso,2. Mujer trans/travesti,150,120,30,,,
6098. Berisso,3. Varón,45819,38892,6927,,,
6098. Berisso,4. Varón trans/masculinidad trans,193,155,38,,,
6098. Berisso,5. No binario,88,74,14,,,
6098. Berisso,6. Otra identidad/ninguna de las anteriores,48,44,4,,,
6098. Berisso,7. Prefiero no contestar,118,100,18,,,
6098. Berisso,9. Ignorado,4673,3773,900,,,
6105. Bolívar,0. __tot__,37194,28980,8214,,,
6105. Bolívar,1. Mujer,18176,14386,3790,,,
6105. Bolívar,2. Mujer trans/travesti,73,50,23,,,
6105. Bolívar,3. Varón,16877,13187,3690,,,
6105. Bolívar,4. Varón trans/masculinidad trans,123,77,46,,,
6105. Bolívar,5. No binario,27,21,6,,,
6105. Bolívar,6. Otra identidad/ninguna de las anteriores,15,4,11,,,
6105. Bolívar,7. Prefiero no contestar,44,30,14,,,
6105. Bolívar,9. Ignorado,1859,1225,634,,,
6112. Bragado,0. __tot__,46227,40818,5409,,,
6112. Bragado,1. Mujer,21756,19462,2294,,,
6112. Bragado,2. Mujer trans/travesti,74,57,17,,,
6112. Bragado,3. Varón,20413,18135,2278,,,
6112. Bragado,4. Varón trans/masculinidad trans,145,119,26,,,
6112. Bragado,5. No binario,52,41,11,,,
6112. Bragado,6. Otra identidad/ninguna de las anteriores,48,34,14,,,
6112. Bragado,7. Prefiero no contestar,70,63,7,,,
6112. Bragado,9. Ignorado,3669,2907,762,,,
6119. Brandsen,0. __tot__,32350,23136,9214,,,
6119. Brandsen,1. Mujer,15770,11480,4290,,,
6119. Brandsen,2. Mujer trans/travesti,38,28,10,,,
6119. Brandsen,3. Varón,15166,10789,4377,,,
6119. Brandsen,4. Varón trans/masculinidad trans,39,22,17,,,
6119. Brandsen,5. No binario,16,9,7,,,
6119. Brandsen,6. Otra identidad/ninguna de las anteriores,11,7,4,,,
6119. Brandsen,7. Prefiero no contestar,71,33,38,,,
6119. Brandsen,9. Ignorado,1239,768,471,,,
6126. Campana,0. __tot__,107976,87618,20358,,,
6126. Campana,1. Mujer,52735,43176,9559,,,
6126. Campana,2. Mujer trans/travesti,139,105,34,,,
6126. Campana,3. Varón,50829,41142,9687,,,
6126. Campana,4. Varón trans/masculinidad trans,140,109,31,,,
6126. Campana,5. No binario,48,37,11,,,
6126. Campana,6. Otra identidad/ninguna de las anteriores,33,27,6,,,
6126. Campana,7. Prefiero no contestar,126,112,14,,,
6126. Campana,9. Ignorado,3926,2910,1016,,,
6134. Cañuelas,0. __tot__,70542,55753,14789,,,
6134. Cañuelas,1. Mujer,34291,27282,7009,,,
6134. Cañuelas,2. Mujer trans/travesti,84,58,26,,,
6134. Cañuelas,3. Varón,33187,26173,7014,,,
6134. Cañuelas,4. Varón trans/masculinidad trans,58,38,20,,,
6134. Cañuelas,5. No binario,39,29,10,,,
6134. Cañuelas,6. Otra identidad/ninguna de las anteriores,31,21,10,,,
6134. Cañuelas,7. Prefiero no contestar,69,52,17,,,
